Original S/NO,,2nd S/NO,date,, 3rd S/NO,date,,4th S/NO,date,,5th S/NO,date,,6th S/NO,date,,7th S/NO,date,,8th S/NO,date,,9th S/NO,date,,10th S/NO,date,,11th S/NO,date,,12th S/NO,date
6116001370,,6116001896,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001937,,5A27000634,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111000178,,5A29000336,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001361,,5A29001350,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B13002174,,5A29001322,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118003059,,6116001136,5/21/2018,,6111000976,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111000946,,6116001313,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B04000036,,6118002216,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A29000286,,6111001644,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28001055,,6118002859,3/19/2018,,6116001319,7/9/2018,,6118002858,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
5A27001746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002894,,5B20001117,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002779,,5A27001330,3/26/2018,,6116002195,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002397,,5A27001398,3/6/2018,,6118001769,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002143,,5A27000651,2/26/2018,,6118001589,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002812,,5B20001161,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002708,,6130000007,4/5/2018,,5A27001622,5/28/2018,,5A28002150,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6116001443,,5B13002174,1/29/2018,,6111000586,4/16/2018,,6116002037,6/4/2018,,6118002995,7/29/2018,,,,,,,,,,,,,,,,,,,,,
6116001437,,6116001383,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001349,,5B12003784,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001320,,5B20001079,7/29/2018,,5A29001322,8/13/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116000931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115001408,,6111001644,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115000474,,5A29000560,2/5/2018,,6115001508,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6114000040,,5A27000670,3/26/2018,,6116002583,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28001103,,5b20001395,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118001913,,6129001445,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28002468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002646,,6116002557,,,5A28001937,7/23/2018,,6118002548,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6118002762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001546,,6111001815,2/14/2018,,5B13002359,6/11/2018,,6109000645,7/25/2018,,5A28000067,7/29/2018,,,,,,,,,,,,,,,,,,,,,
5A28001929,,5A27001494,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
